text,cleaned_text,tokenized_and_lemmatized,sentiment
I have to say when do you want to rescue the billion hostages from red Hamas? When do you want pull down the information wall between red Hamas and the world?,I have to say when do you want to rescue the billion hostages from red Hamas When do you want pull down the information wall between red Hamas and the world,say want rescue billion hostage red hamas want pull information wall red hamas world,Negative
"The Jewish people have had everything taken from them throughout their history. I don’t recall them ever going out and raping, torturing, butchering and kidnapping as a response. That isn’t “fighting for your country”. Hamas are depraved terrorists and they must be eliminated.",The Jewish people have had everything taken from them throughout their history I don t recall them ever going out and raping torturing butchering and kidnapping as a response That isn t fighting for your country Hamas are depraved terrorists and they must be eliminated,jewish people everything taken throughout history recall ever going raping torturing butchering kidnapping response fighting country hamas depraved terrorist must eliminated,Negative
Macron voters if its a Le pen vs Melenchon scenario in 2027 :,Macron voters if its a Le pen vs Melenchon scenario in 2027,macron voter le pen v melenchon scenario,Neutral
"My esteemed colleague Dr. Amy Ravitch from tonight’s pro-Hamas cavalcade at Raleigh City Council meeting: “They say the conflict is complicated, but it really isn't. Islamic terrorist organizations like Hamas ... just want to eradicate Israel and get rid of Jews,"" #northcarolina",My esteemed colleague Dr Amy Ravitch from tonight s pro Hamas cavalcade at Raleigh City Council meeting They say the conflict is complicated but it really isn t Islamic terrorist organizations like Hamas just want to eradicate Israel and get rid of Jews north carolina,esteemed colleague dr amy ravitch tonight pro hamas cavalcade raleigh city council meeting say conflict complicated really islamic terrorist organization like hamas want eradicate israel get rid jew north carolina,Negative
You should be ashamed of yourself for supporting Hamas butchery. You’re a shallow attention whore.,You should be ashamed of yourself for supporting Hamas butchery You re a shallow attention whore,ashamed supporting hamas butchery shallow attention whore,Negative
You are losing and making up stories so the war will stop ! Stop using the civilians and dragging them through hell !!! Hamas surrenders and you agree on peace terms and have the life you deserve ! But no more spreading stories and making up stuff !!!,You are losing and making up stories so the war will stop Stop using the civilians and dragging them through hell Hamas surrenders and you agree on peace terms and have the life you deserve But no more spreading stories and making up stuff,losing making story war stop stop using civilian dragging hell hamas surrender agree peace term life deserve spreading story making stuff,Negative
"Oh cry me a river.  Go live with Hamas.  Learn your history. We dropped 2 atomic bombs that killed way more during ww2.  Tell Hamas to release the hostages and then Israel will stop. Until then, tough shit. This is war.",Oh cry me a river Go live with Hamas Learn your history We dropped 2 atomic bombs that killed way more during ww2 Tell Hamas to release the hostages and then Israel will stop Until then tough shit This is war,oh cry river go live hamas learn history dropped atomic bomb killed way tell hamas release hostage israel stop tough shit war,Negative
"🚨BREAKING:   During the UN Session on Gaza, the Israeli Ambassador holds up a sign with the phone number of Hamas’ leader Yahya Sinwar:  FOR A CEASEFIRE, DIAL: +970-599373765  Ask for Yahya Sinwar  Credits:@MarioNawfal",BREAKING During the UN Session on Gaza the Israeli Ambassador holds up a sign with the phone number of Hamas leader Yahya Sinwar FOR A CEASEFIRE DIAL 970 599373765 Ask for Yahya Sinwar Credits MarioNawfal,breaking un session gaza israeli ambassador hold sign phone number hamas leader yahya sinwar ceasefire dial ask yahya sinwar credit marionawfal,Positive
"No I think it does. Even HAMAS acknowledged Israel - if it went to 1967 borders. I mean that’s not gonna happen, but that is still conditional recognition compared to absolute annihilation.",No I think it does Even HAMAS acknowledged Israel if it went to 1967 borders I mean that s not gonna happen but that is still conditional recognition compared to absolute annihilation,think even hamas acknowledged israel went border mean gon na happen still conditional recognition compared absolute annihilation,Neutral
"#defundUNRWA  UNRWA is Hamas, Hamas is UNRWA",de fund unrwa UNRWA is Hamas Hamas is UNRWA,de fund unrwa unrwa hamas hamas unrwa,Neutral
"BREAKING: HAMAS OFFICIAL STATEMENT  “The Zionist army's incursion into Kamal Adwan hospital is a desperate attempt — many times failed — to force our people to leave Gaza's northern areas. Culminating in the detention of many people, including medical staff, the assault comes after many days of shelling and siege of the hospital, as well as the denial of water, food, and medical supplies for the wounded, sick, and displaced.  The policy of bombing and besieging hospitals and the systematic destruction of the healthcare system in the Gaza Strip are crimes under international and humanitarian law, with the full cover and support of the US administration. Stopping these crimes and holding this fascist entity to account demands an international stance that is united and resolute.”",BREAKING HAMAS OFFICIAL STATEMENT The Zionist army s incursion into Kamal Adwan hospital is a desperate attempt many times failed to force our people to leave Gaza s northern areas Culminating in the detention of many people including medical staff the assault comes after many days of shelling and siege of the hospital as well as the denial of water food and medical supplies for the wounded sick and displaced The policy of bombing and besieging hospitals and the systematic destruction of the healthcare system in the Gaza Strip are crimes under international and humanitarian law with the full cover and support of the US administration Stopping these crimes and holding this fascist entity to account demands an international stance that is united and resolute,breaking hamas official statement zionist army incursion kamal adwan hospital desperate attempt many time failed force people leave gaza northern area culminating detention many people including medical staff assault come many day shelling siege hospital well denial water food medical supply wounded sick displaced policy bombing besieging hospital systematic destruction healthcare system gaza strip crime international humanitarian law full cover support u administration stopping crime holding fascist entity account demand international stance united resolute,Negative
Theres forensic evidence and eye witness reports. I might support Palestinian freedom and cease fire but I don’t doubt the barbarity of Hamas for one minute.   https://www.theguardian.com/commentisfree/2023/dec/01/israel-hamas-war-rape-israelis-palestinians,Theres forensic evidence and eye witness reports I might support Palestinian freedom and cease fire but I don t doubt the barbarity of Hamas for one minute,there forensic evidence eye witness report might support palestinian freedom cease fire doubt barbarity hamas one minute,Positive
U.N. General Assembly overwhelmingly votes to demand an immediate ceasefire in Israel-Hamas war https://news.yahoo.com/un-general-assembly-overwhelmingly-votes-to-demand-an-immediate-ceasefire-in-israel-hamas-war-220038024.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr via @YahooNews So does yahoo approve of what hamas did 7 oct. Yahoo wont allow me to say hamas must be held accountable,U N General Assembly overwhelmingly votes to demand an immediate ceasefire in Israel Hamas war via YahooNews So does yahoo approve of what hamas did 7 oct Yahoo wont allow me to say hamas must be held accountable,u n general assembly overwhelmingly vote demand immediate ceasefire israel hamas war via yahoonews yahoo approve hamas oct yahoo wont allow say hamas must held accountable,Negative
You can't plead for Gaza without acknowledging how Hamas started this war.,You can t plead for Gaza without acknowledging how Hamas started this war,plead gaza without acknowledging hamas started war,Negative
Getting your ass beat in a war Hamas started isn’t genocide. #FAFO,Getting your ass beat in a war Hamas started isn t genocide fa fo,getting as beat war hamas started genocide fa fo,Negative
Once and for all: HAMAS NO MORE REFEM! THEY KILLED EVERYONE! Get ready to exterminate the rats now,Once and for all HAMAS NO MORE REFEM THEY KILLED EVERYONE Get ready to exterminate the rats now,hamas refem killed everyone get ready exterminate rat,Negative
I seriously think they just want to render the land unusable. They've warned for days they would do this - hard to believe Hamas would not be elsewhere - idk.,I seriously think they just want to render the land unusable They ve warned for days they would do this hard to believe Hamas would not be elsewhere idk,seriously think want render land unusable warned day would hard believe hamas would elsewhere idk,Negative
You know what he means.  Stop playing word games. He means people that want to kill people because of thier faith like Hamas wants to kill Jews because they are Jews. You know that’s what he means - be honest for once.,You know what he means Stop playing word games He means people that want to kill people because of thier faith like Hamas wants to kill Jews because they are Jews You know that s what he means be honest for once,know mean stop playing word game mean people want kill people thier faith like hamas want kill jew jew know mean honest,Negative
All civilians have these rights. Palestinians have these rights regardless of what Hamas has done. Israelis have these rights regardless of what Israel has done. Civilians have these rights regardless their nation's past; regardless of *everything*. That is the nature of rights.,All civilians have these rights Palestinians have these rights regardless of what Hamas has done Israelis have these rights regardless of what Israel has done Civilians have these rights regardless their nation s past regardless of everything That is the nature of rights,civilian right palestinian right regardless hamas done israeli right regardless israel done civilian right regardless nation past regardless everything nature right,Neutral
The United Nations and Pro Palestine people support Hamas and other nazis who want to kill jews.,The United Nations and Pro Palestine people support Hamas and other nazis who want to kill jews,united nation pro palestine people support hamas nazi want kill jew,Neutral
IDF begins pumping seawater into Hamas tunnels in Gaza -WSJ https://m.jpost.com/breaking-news/article-777762#777762,IDF begins pumping seawater into Hamas tunnels in Gaza WSJ,idf begin pumping seawater hamas tunnel gaza wsj,Neutral
"wow, they show a real photo. probably shot  by hamas!!!",wow they show a real photo probably shot by hamas,wow show real photo probably shot hamas,Positive
Lmao is there a positive way to portray Hamas? 😂,Lmao is there a positive way to portray Hamas,lmao positive way portray hamas,Positive
#SuellaBraverman's call for #British values has no value more than a pinch of salt:  #UNSC #UnitedStates #unitedkingdom #IsraeliTerroristState #IsraeliLies #Netanyahou_A_criminal_of_war #NetanyahuWarCriminal #IsraelTerorrist #Zionists #zionistregime #PalestinianLivesMatter,su ella braverman s call for british values has no value more than a pinch of salt unsc united states united kingdom israeli terrorist state israeli lies netanya hou a criminal of war netanyahu war criminal israel ter or rist zionists zionist regime palestinian lives matter,su ella braverman call british value value pinch salt unsc united state united kingdom israeli terrorist state israeli lie netanya hou criminal war netanyahu war criminal israel ter rist zionist zionist regime palestinian life matter,Negative
"Not a penny anymore. Supporting Ukraine is supporting Hamas, Isis, and Iran.",Not a penny anymore Supporting Ukraine is supporting Hamas Isis and Iran,penny anymore supporting ukraine supporting hamas isi iran,Positive
"I would support a ceasefire as soon as Hamas releases all hostages, surrenders, lays down its arms and places its leaders in custody waiting trial by international courts. Then a ceasefire becomes acceptable",I would support a ceasefire as soon as Hamas releases all hostages surrenders lays down its arms and places its leaders in custody waiting trial by international courts Then a ceasefire becomes acceptable,would support ceasefire soon hamas release hostage surrender lay arm place leader custody waiting trial international court ceasefire becomes acceptable,Negative
This is the difference between the IDF and hamas  #Freepalastine,This is the difference between the IDF and hamas free palast in e,difference idf hamas free palast e,Positive
"Now i know, you are Terrorist Hamas supporter. It's no wonder that terrorist stupidity is within you",Now i know you are Terrorist Hamas supporter It s no wonder that terrorist stupidity is within you,know terrorist hamas supporter wonder terrorist stupidity within,Negative
Seems that these children are prepared deliberately for staged photo shoots just to hide the ugly face of Hamas.  I strongly stand with Israel #HamasTerrorists,Seems that these children are prepared deliberately for staged photo shoots just to hide the ugly face of Hamas I strongly stand with Israel hamas terrorists,seems child prepared deliberately staged photo shoot hide ugly face hamas strongly stand israel hamas terrorist,Negative
More to come. Hamas will finish them all,More to come Hamas will finish them all,come hamas finish,Neutral
FBI warns Israel-Hamas war will likely inspire increased violence and threats in US throughout winter https://trib.al/ueGznkD,FBI warns Israel Hamas war will likely inspire increased violence and threats in US throughout winter,fbi warns israel hamas war likely inspire increased violence threat u throughout winter,Negative
#FreePalestine #Netanyahou_A_criminal_of_war,free palestine netanya hou a criminal of war,free palestine netanya hou criminal war,Negative
"Shame on you supporting Hamas terrorists and rapists. Instead of condemning Hamas and asking for hostages to be released, you play human right activist role you double standard fool",Shame on you supporting Hamas terrorists and rapists Instead of condemning Hamas and asking for hostages to be released you play human right activist role you double standard fool,shame supporting hamas terrorist rapist instead condemning hamas asking hostage released play human right activist role double standard fool,Negative
"1. According to NYTimes, 845 are civilians out of 1,200 killed.  We may never have an exact number of civilians killed by Hamas because, according to a report from Business Insider, an Israeli police investigation suggests that IDF also killed their own people.  2. If Q1 is accurate, 355 are Israeli militants. 3. Refer to Q1.  A moderate estimate would be 423 civilians to have been killed by Hamas, but we’ll never know for sure. It is important to note that Hamas’ intention was not to harm civilians, but rather to capture hostages for a hostage exchange with Israel, who had unjustly imprisoned them.  On the Gaza side, over 17,700 people have been killed by Israel, with nearly 70% of the victims being women and children. Unfortunately, even more lives are at risk due to the lack of water, contaminated water sources, famine, and the shortage of essential hospital supplies and medications.  This is a war against civilians, mostly women and children under the guise of fighting terrorism.",1 According to NYTimes 845 are civilians out of 1 200 killed We may never have an exact number of civilians killed by Hamas because according to a report from Business Insider an Israeli police investigation suggests that IDF also killed their own people 2 If Q1 is accurate 355 are Israeli militants 3 Refer to Q1 A moderate estimate would be 423 civilians to have been killed by Hamas but we ll never know for sure It is important to note that Hamas intention was not to harm civilians but rather to capture hostages for a hostage exchange with Israel who had unjustly imprisoned them On the Gaza side over 17 700 people have been killed by Israel with nearly 70 of the victims being women and children Unfortunately even more lives are at risk due to the lack of water contaminated water sources famine and the shortage of essential hospital supplies and medications This is a war against civilians mostly women and children under the guise of fighting terrorism,according nytimes civilian killed may never exact number civilian killed hamas according report business insider israeli police investigation suggests idf also killed people accurate israeli militant refer moderate estimate would civilian killed hamas never know sure important note hamas intention harm civilian rather capture hostage hostage exchange israel unjustly imprisoned gaza side people killed israel nearly victim woman child unfortunately even life risk due lack water contaminated water source famine shortage essential hospital supply medication war civilian mostly woman child guise fighting terrorism,Negative
"Isis is anti-American and cannot care whether it’s Biden or Trump in the helm. Same with Hamas and its supporters-  they don’t care if it’s Netanyahu or Bennet or Gantz in the helm, they oppose Israel’s existence, not who leads the country through democratic elections.",Isis is anti American and cannot care whether it s Biden or Trump in the helm Same with Hamas and its supporters they don t care if it s Netanyahu or Bennet or Gantz in the helm they oppose Israel s existence not who leads the country through democratic elections,isi anti american care whether biden trump helm hamas supporter care netanyahu bennet gantz helm oppose israel existence lead country democratic election,Positive
May I introduce you to the Public Relations department of the Palestinian 🇵🇸 Hamas terrorists:   @UN led by @antonioguterres 🇵🇹 (Secretary-General)  @UNRWA led by @UNLazzarini 🇨🇭 (Commissioner-General),May I introduce you to the Public Relations department of the Palestinian Hamas terrorists UN led by antonioguterres Secretary General UNRWA led by UNLazzarini Commissioner General,may introduce public relation department palestinian hamas terrorist un led antonioguterres secretary general unrwa led unlazzarini commissioner general,Negative
"The French newspaper Liberation published an almost final assessment of a two-month investigation into the events of last October 7, in which it confirmed that some of the alleged “atrocities” committed by Hamas, which received international support, did not occur at all.  ￼",The French newspaper Liberation published an almost final assessment of a two month investigation into the events of last October 7 in which it confirmed that some of the alleged atrocities committed by Hamas which received international support did not occur at all,french newspaper liberation published almost final assessment two month investigation event last october confirmed alleged atrocity committed hamas received international support occur,Negative
What if he accidentally attacked Hamas saboteurs disguised as IDF troops (warcrime but that's par for the course for terrorism).,What if he accidentally attacked Hamas saboteurs disguised as IDF troops warcrime but that s par for the course for terrorism,accidentally attacked hamas saboteur disguised idf troop warcrime par course terrorism,Negative
💔😔 May God bless the soliders and hostages families. If this is the price of destroying Hamas then it  will be done. 🇮🇱-🇺🇸,May God bless the soliders and hostages families If this is the price of destroying Hamas then it will be done,may god bless soliders hostage family price destroying hamas done,Negative
#IsraeliTerroristState #CeasefireInGazaNowPermanently #netanyahou_biden_are_terrorists_and_war_criminals,israeli terrorist state ceasefire in gaza now permanently netanya hou biden are terrorists and war criminals,israeli terrorist state ceasefire gaza permanently netanya hou biden terrorist war criminal,Negative
"@Sophiemcneill our pleasure Hamas bitch. And true to your identity as being a Jew hater, not one word about Hamas returning the hostages surrendering from behind human shields. Seems you don’t care about Israelis andPalestinians.",Sophiemcneill our pleasure Hamas bitch And true to your identity as being a Jew hater not one word about Hamas returning the hostages surrendering from behind human shields Seems you don t care about Israelis andPalestinians,sophiemcneill pleasure hamas bitch true identity jew hater one word hamas returning hostage surrendering behind human shield seems care israeli andpalestinians,Negative
"Ok, you'll get your ceasefire once Hamas unconditionally surrenders",Ok you ll get your ceasefire once Hamas unconditionally surrenders,ok get ceasefire hamas unconditionally surrender,Positive
Hamas is not a terrorist organisation they are democratically elected to represent the people of Gaza,Hamas is not a terrorist organisation they are democratically elected to represent the people of Gaza,hamas terrorist organisation democratically elected represent people gaza,Negative
"Good, because it's just well curated bullshit. The police arrest anyone going AGAINST the approved narrative. And that narrative supports murdering Hamas terrorists.",Good because it s just well curated bullshit The police arrest anyone going AGAINST the approved narrative And that narrative supports murdering Hamas terrorists,good well curated bullshit police arrest anyone going approved narrative narrative support murdering hamas terrorist,Negative
"hamas cant back down, otherwise there will be internal fights for the billions of aid. so they will continue until they are all decimated like post munich 72. israel cant back down or they will all die. biggest issue for the rest of the world is iran and syria joining",hamas cant back down otherwise there will be internal fights for the billions of aid so they will continue until they are all decimated like post munich 72 israel cant back down or they will all die biggest issue for the rest of the world is iran and syria joining,hamas cant back otherwise internal fight billion aid continue decimated like post munich israel cant back die biggest issue rest world iran syria joining,Positive
Israel has no other option but to take out Hamas,Israel has no other option but to take out Hamas,israel option take hamas,Neutral
#FreePalestine #Netanyahou_A_criminal_of_war,free palestine netanya hou a criminal of war,free palestine netanya hou criminal war,Negative
"'Barbie,' Israel-Hamas war among the year's top Google searches in 2023 https://trib.al/bJvYLZu",Barbie Israel Hamas war among the year s top Google searches in 2023,barbie israel hamas war among year top google search,Negative
Bruh this mf just making shit up.,Bruh this mf just making shit up,bruh mf making shit,Negative
😮 wake up wake up ! This will be here if WE THE PEOPLE DONT STAND AGAINST “DEI” and other nonsense like what @Harvard is doing defending TERRORIST HAMAS! and refusing to acknowledge the “context” in which the chanting at campuses are being used against Jewish students! We are unraveling as a society and is all thanks to WOKE MENTALITY where right is wrong and viceversa ! and the @TheDemocrats policies defending nonsense under the presumptions of “protecting minorities “ how about the rest of us?,wake up wake up This will be here if WE THE PEOPLE DONT STAND AGAINST DEI and other nonsense like what Harvard is doing defending TERRORIST HAMAS and refusing to acknowledge the context in which the chanting at campuses are being used against Jewish students We are unraveling as a society and is all thanks to WOKE MENTALITY where right is wrong and viceversa and the TheDemocrats policies defending nonsense under the presumptions of protecting minorities how about the rest of us,wake wake people dont stand dei nonsense like harvard defending terrorist hamas refusing acknowledge context chanting campus used jewish student unraveling society thanks woke mentality right wrong viceversa thedemocrats policy defending nonsense presumption protecting minority rest u,Negative
"Yeah she is a dirty terrorist. Why do you keep asking @benshapiro   He’s a busy man, I can answer all your Hamas Gaza and terrorists questions. You should go ahead and put that child out of her misery. She will have to,  A- blow herself up  B- marry some old man to be raped",Yeah she is a dirty terrorist Why do you keep asking benshapiro He s a busy man I can answer all your Hamas Gaza and terrorists questions You should go ahead and put that child out of her misery She will have to A blow herself up B marry some old man to be raped,yeah dirty terrorist keep asking benshapiro busy man answer hamas gaza terrorist question go ahead put child misery blow b marry old man raped,Negative
"Americans are used to having 2 parties argue in good faith. So when some of them see Israel attacking Hamas, they assume Hamas is a reasonable government that’s being victimized. Even though that couldn’t be further from the truth.",Americans are used to having 2 parties argue in good faith So when some of them see Israel attacking Hamas they assume Hamas is a reasonable government that s being victimized Even though that couldn t be further from the truth,american used party argue good faith see israel attacking hamas assume hamas reasonable government victimized even though truth,Positive
"Israel is neither at war with or on Gaza...it's focused on destroying Hamas.  Hamas wants to destroy Israel. Hamas uses civilians as targets. Hamas uses hospitals, schools, and homes from which to base their attacks. Hamas rapes. Hamas decapitates. Hamas murders. Questions?",Israel is neither at war with or on Gaza it s focused on destroying Hamas Hamas wants to destroy Israel Hamas uses civilians as targets Hamas uses hospitals schools and homes from which to base their attacks Hamas rapes Hamas decapitates Hamas murders Questions,israel neither war gaza focused destroying hamas hamas want destroy israel hamas us civilian target hamas us hospital school home base attack hamas rape hamas decapitates hamas murder question,Negative
Hamas murdered this woman  Her name is Eden Zecharya  She was kidnapped by Hamas  Her body was found today  Some of you never called for the release of this woman from captivity - and whatever it was she endured whilst there,Hamas murdered this woman Her name is Eden Zecharya She was kidnapped by Hamas Her body was found today Some of you never called for the release of this woman from captivity and whatever it was she endured whilst there,hamas murdered woman name eden zecharya kidnapped hamas body found today never called release woman captivity whatever endured whilst,Negative
"You only defeated the children, killed them, and destroyed the homes for their residents, but Hamas remains. Even your people were killed on October 7 😂😂",You only defeated the children killed them and destroyed the homes for their residents but Hamas remains Even your people were killed on October 7,defeated child killed destroyed home resident hamas remains even people killed october,Negative
"Oh no, another calendar that joined Hamas. These Israelis are afraid of papers now haha",Oh no another calendar that joined Hamas These Israelis are afraid of papers now haha,oh another calendar joined hamas israeli afraid paper haha,Positive
The beginning of the end for Hamas-Isis,The beginning of the end for Hamas Isis,beginning end hamas isi,Neutral
#netanyahou_biden_are_terrorists_and_war_criminals,netanya hou biden are terrorists and war criminals,netanya hou biden terrorist war criminal,Negative
"Israel-Hamas war: List of key events, day 5 | Israel-Palestine conflict News | UkraineNews.co ukrainenews.co/lifestyle/wha…",Israel Hamas war List of key events day 5 Israel Palestine conflict News UkraineNews co ukrainenews co lifestyle wha,israel hamas war list key event day israel palestine conflict news ukrainenews co ukrainenews co lifestyle wha,Negative
"Once Hamas is eliminated from there, Bibi Netanyahu will sit with top Israeli government, IDF will do the security of the land exclusively and with Biden only, Joe Biden, Netanyahu will discuss how to proceed for safety of all involved. Not UN.",Once Hamas is eliminated from there Bibi Netanyahu will sit with top Israeli government IDF will do the security of the land exclusively and with Biden only Joe Biden Netanyahu will discuss how to proceed for safety of all involved Not UN,hamas eliminated bibi netanyahu sit top israeli government idf security land exclusively biden joe biden netanyahu discus proceed safety involved un,Positive
How do you know they are not captured Hamas soldiers? where's your evidence?,How do you know they are not captured Hamas soldiers where s your evidence,know captured hamas soldier evidence,Neutral
"No Jew has ever used the Talmud to commit or justify a rape, Hamas however, it’s part of their DNA",No Jew has ever used the Talmud to commit or justify a rape Hamas however it s part of their DNA,jew ever used talmud commit justify rape hamas however part dna,Negative
"The flooding of the tunnels has begun, and with it the terrorists are drowning.   Hamas called their 10/7 Operation Al-Aqsa Flood. The name proved to be prophetic.",The flooding of the tunnels has begun and with it the terrorists are drowning Hamas called their 10 7 Operation Al Aqsa Flood The name proved to be prophetic,flooding tunnel begun terrorist drowning hamas called operation al aqsa flood name proved prophetic,Negative
The West keeps pretending that they don't understand where the next generation of Hamas fighters are coming from.  If you keep murdering their mothers and sisters are you surprised they seek vengeance.,The West keeps pretending that they don t understand where the next generation of Hamas fighters are coming from If you keep murdering their mothers and sisters are you surprised they seek vengeance,west keep pretending understand next generation hamas fighter coming keep murdering mother sister surprised seek vengeance,Negative
See how quickly and easily Billy conflates support for Palestine with support for Hamas. Funny how that keeps happening.,See how quickly and easily Billy conflates support for Palestine with support for Hamas Funny how that keeps happening,see quickly easily billy conflates support palestine support hamas funny keep happening,Positive
I thought Hamas was there to protect Palestinians?????   We told me that?,I thought Hamas was there to protect Palestinians We told me that,thought hamas protect palestinian told,Positive
What does the stand Hamas soldier uniform look like?,What does the stand Hamas soldier uniform look like,stand hamas soldier uniform look like,Positive
"A conspiracy theory about the photos of terrorist prisoners in their underpants held that they couldn't be in Hamas because they wore sandals, which apparently Hamasniks wouldn't do. But many of the 10/7 rapists wore sandals, and these guys aren't even wearing shoes.",A conspiracy theory about the photos of terrorist prisoners in their underpants held that they couldn t be in Hamas because they wore sandals which apparently Hamasniks wouldn t do But many of the 10 7 rapists wore sandals and these guys aren t even wearing shoes,conspiracy theory photo terrorist prisoner underpants held hamas wore sandal apparently hamasniks many rapist wore sandal guy even wearing shoe,Negative
Yes when you need to deal with crap like Hamas,Yes when you need to deal with crap like Hamas,yes need deal crap like hamas,Positive
The Israelis grabbed Adolf Eichmann in Argentina in 1960....15 years after WWII. The Hamas leadership can expect at least this much determination.,The Israelis grabbed Adolf Eichmann in Argentina in 1960 15 years after WWII The Hamas leadership can expect at least this much determination,israeli grabbed adolf eichmann argentina year wwii hamas leadership expect least much determination,Positive
"On average, I read/hear/watch 10 Israelis and/or Americans a day who think that if we leave Islamist Hamas/ISIS/Hezbollah alone, if we give them a state and money, and maybe our kidneys too, they'll leave us alone. These Israelis and Americans live in Lala land. They don't know that Islamism is built on finding enemies. Without war and enemies, Islamist militias cannot justify their tyranny and government failure.",On average I read hear watch 10 Israelis and or Americans a day who think that if we leave Islamist Hamas ISIS Hezbollah alone if we give them a state and money and maybe our kidneys too they ll leave us alone These Israelis and Americans live in Lala land They don t know that Islamism is built on finding enemies Without war and enemies Islamist militias cannot justify their tyranny and government failure,average read hear watch israeli american day think leave islamist hamas isi hezbollah alone give state money maybe kidney leave u alone israeli american live lala land know islamism built finding enemy without war enemy islamist militia justify tyranny government failure,Negative
Those are not schools. They are terrorist recruitment and training centers and hamas strongholds. Destroy them all!  Those Schools are a huge contributing factor to how this war happened in the first place. What the Un did there is pure evil,Those are not schools They are terrorist recruitment and training centers and hamas strongholds Destroy them all Those Schools are a huge contributing factor to how this war happened in the first place What the Un did there is pure evil,school terrorist recruitment training center hamas stronghold destroy school huge contributing factor war happened first place un pure evil,Negative
Uraina and hamas only want died come to new earth .hey zo,Uraina and hamas only want died come to new earth hey zo,uraina hamas want died come new earth hey zo,Negative
"false, the Arabs took the $$ after WW2 and laughed all the way to the bank.  ""Stupid Jew"" they said.  ""That land is barren & nothing grows.""  ""The Jews will be gone in 20 years"" they told their people.  But Jews aren't nomadic goat herders.  They are farmers.   Enter Hamas",false the Arabs took the after WW2 and laughed all the way to the bank Stupid Jew they said That land is barren nothing grows The Jews will be gone in 20 years they told their people But Jews aren t nomadic goat herders They are farmers Enter Hamas,false arab took laughed way bank stupid jew said land barren nothing grows jew gone year told people jew nomadic goat herder farmer enter hamas,Negative
"And how come group like Hamas types even come about hey? anything to do with generations of oppression, displacement, persecution & apartheid policies perhaps? lack of hope, desperation, revenge?",And how come group like Hamas types even come about hey anything to do with generations of oppression displacement persecution apartheid policies perhaps lack of hope desperation revenge,come group like hamas type even come hey anything generation oppression displacement persecution apartheid policy perhaps lack hope desperation revenge,Negative
'But does she condemn Hamas ?',But does she condemn Hamas,condemn hamas,Negative
"Imagine how horrified you would be to learn that someone not only refers to the 7th October Hamas terrorist attacks as “resistance”, but goes on to deny that they even took place.  Now imagine that this person is an NHS doctor in Britain.  Appalling.",Imagine how horrified you would be to learn that someone not only refers to the 7th October Hamas terrorist attacks as resistance but goes on to deny that they even took place Now imagine that this person is an NHS doctor in Britain Appalling,imagine horrified would learn someone refers october hamas terrorist attack resistance go deny even took place imagine person nh doctor britain appalling,Negative
"Is he save the children staff member by day, Hamas by night?  Seriously, why aren’t Save the Children evacuating “children”?  None of the neighbouring Arab countries are willing to take them in, even for humanitarian causes? 🤔",Is he save the children staff member by day Hamas by night Seriously why aren t Save the Children evacuating children None of the neighbouring Arab countries are willing to take them in even for humanitarian causes,save child staff member day hamas night seriously save child evacuating child none neighbouring arab country willing take even humanitarian cause,Positive
"Dozens more Hamas terrorists wearing civilian clothing surrender to IDF forces.   In the last few days hundreds of terrorists have been captured, many of whom took part in the brutal Oct 7th attack.   Many were found hiding in civilian buildings.   📸 @AvivaKlompas",Dozens more Hamas terrorists wearing civilian clothing surrender to IDF forces In the last few days hundreds of terrorists have been captured many of whom took part in the brutal Oct 7th attack Many were found hiding in civilian buildings AvivaKlompas,dozen hamas terrorist wearing civilian clothing surrender idf force last day hundred terrorist captured many took part brutal oct attack many found hiding civilian building avivaklompas,Negative
"The 7-8,000 Palestinian children that the “Israeli war machine” killed did not start a fight with anyone. You find comfort in blaming Hamas’ October 7 terror attack for the deaths of 1,000s of children rather than the country that’s been bombing them in the 2 months since?",The 7 8 000 Palestinian children that the Israeli war machine killed did not start a fight with anyone You find comfort in blaming Hamas October 7 terror attack for the deaths of 1 000s of children rather than the country that s been bombing them in the 2 months since,palestinian child israeli war machine killed start fight anyone find comfort blaming hamas october terror attack death child rather country bombing month since,Negative
People are sheep and all falling for the Spell done with African Voodoo and Pro Hamas this is why the sheep are all pro Palestine and not for pro What is right and good,People are sheep and all falling for the Spell done with African Voodoo and Pro Hamas this is why the sheep are all pro Palestine and not for pro What is right and good,people sheep falling spell done african voodoo pro hamas sheep pro palestine pro right good,Positive
"The most robust defence for the State of Israel and against #Hamas, and its only goal - not a ceasefire but the destruction of the Jewish entity.  #HamasRats #HamasMassacre #HamasTerrorists #October7massacre #IStandWithIsrael",The most robust defence for the State of Israel and against hamas and its only goal not a ceasefire but the destruction of the Jewish entity hamasRats hamasMassacre hamasTerrorists october 7 massacre i stand with israel,robust defence state israel hamas goal ceasefire destruction jewish entity hamasrats hamasmassacre hamasterrorists october massacre stand israel,Negative
at least Hamas don't kill the innocent childre like the cruel Israel💩🇮🇱 keep on bombing civilians is totally BULLSHIT.,at least Hamas don t kill the innocent childre like the cruel Israel keep on bombing civilians is totally BULLSHIT,least hamas kill innocent childre like cruel israel keep bombing civilian totally bullshit,Negative
